Symbol,Name,Date,Open,High,Low,Close,Adj Close,Volume,Dividend
AAPL,Apple Inc. Common Stock,"Mar 31, 2025",217.01,225.62,216.23,222.13,222.13,,
AAPL,Apple Inc. Common Stock,"Mar 28, 2025",221.67,223.81,217.68,217.90,217.90,,
AAPL,Apple Inc. Common Stock,"Mar 27, 2025",221.39,224.99,220.56,223.85,223.85,,
AAPL,Apple Inc. Common Stock,"Mar 26, 2025",223.51,225.02,220.47,221.53,221.53,,
AAPL,Apple Inc. Common Stock,"Mar 25, 2025",220.77,224.10,220.08,223.75,223.75,,
AAPL,Apple Inc. Common Stock,"Mar 24, 2025",221.00,221.48,218.58,220.73,220.73,,
AAPL,Apple Inc. Common Stock,"Mar 21, 2025",211.56,218.84,211.28,218.27,218.27,,
AAPL,Apple Inc. Common Stock,"Mar 20, 2025",213.99,217.49,212.22,214.10,214.10,,
AAPL,Apple Inc. Common Stock,"Mar 19, 2025",214.22,218.76,213.75,215.24,215.24,,
AAPL,Apple Inc. Common Stock,"Mar 18, 2025",214.16,215.15,211.49,212.69,212.69,,
AAPL,Apple Inc. Common Stock,"Mar 17, 2025",213.31,215.22,209.97,214.00,214.00,,
AAPL,Apple Inc. Common Stock,"Mar 14, 2025",211.25,213.95,209.58,213.49,213.49,,
AAPL,Apple Inc. Common Stock,"Mar 13, 2025",215.95,216.84,208.42,209.68,209.68,,
AAPL,Apple Inc. Common Stock,"Mar 12, 2025",220.14,221.75,214.91,216.98,216.98,,
AAPL,Apple Inc. Common Stock,"Mar 11, 2025",223.81,225.84,217.45,220.84,220.84,,
AAPL,Apple Inc. Common Stock,"Mar 10, 2025",235.54,236.16,224.22,227.48,227.48,,
AAPL,Apple Inc. Common Stock,"Mar 7, 2025",235.11,241.37,234.76,239.07,239.07,,
AAPL,Apple Inc. Common Stock,"Mar 6, 2025",234.44,237.86,233.16,235.33,235.33,,
AAPL,Apple Inc. Common Stock,"Mar 5, 2025",235.42,236.55,229.23,235.74,235.74,,
AAPL,Apple Inc. Common Stock,"Mar 4, 2025",237.71,240.07,234.68,235.93,235.93,,
AAPL,Apple Inc. Common Stock,"Mar 3, 2025",241.79,244.03,236.11,238.03,238.03,,
AAPL,Apple Inc. Common Stock,"Feb 28, 2025",236.95,242.09,230.20,241.84,241.84,,
AAPL,Apple Inc. Common Stock,"Feb 27, 2025",239.41,242.46,237.06,237.30,237.30,,
AAPL,Apple Inc. Common Stock,"Feb 26, 2025",244.33,244.98,239.13,240.36,240.36,,
AAPL,Apple Inc. Common Stock,"Feb 25, 2025",248.00,250.00,244.91,247.04,247.04,,
AAPL,Apple Inc. Common Stock,"Feb 24, 2025",244.93,248.86,244.42,247.10,247.10,,
AAPL,Apple Inc. Common Stock,"Feb 21, 2025",245.95,248.69,245.22,245.55,245.55,,
AAPL,Apple Inc. Common Stock,"Feb 20, 2025",244.94,246.78,244.29,245.83,245.83,,
AAPL,Apple Inc. Common Stock,"Feb 19, 2025",244.66,246.01,243.16,244.87,244.87,,
AAPL,Apple Inc. Common Stock,"Feb 18, 2025",244.15,245.18,241.84,244.47,244.47,,
AAPL,Apple Inc. Common Stock,"Feb 14, 2025",241.25,245.55,240.99,244.60,244.60,,
AAPL,Apple Inc. Common Stock,"Feb 13, 2025",236.91,242.34,235.57,241.53,241.53,,
AAPL,Apple Inc. Common Stock,"Feb 12, 2025",231.20,236.96,230.68,236.87,236.87,,
AAPL,Apple Inc. Common Stock,"Feb 11, 2025",228.20,235.23,228.13,232.62,232.62,,
AAPL,Apple Inc. Common Stock,"Feb 10, 2025",229.57,230.59,227.20,227.65,227.65,,
