date,state,price
2021-08-02,NY,3.0
2021-08-09,NY,3.0
2021-08-16,NY,3.0
2021-08-23,NY,
2021-08-30,NY,
2021-09-06,NY,
2021-09-13,NY,
2021-09-20,NY,
2021-09-27,NY,
2021-10-04,NY,
2021-10-11,NY,
2021-10-18,NY,
2021-10-25,NY,
2021-11-01,NY,
2021-11-08,NY,
2021-11-15,NY,
2021-11-22,NY,
2021-11-29,NY,
2021-12-06,NY,
2021-12-13,NY,
2021-12-20,NY,
2021-12-27,NY,
2022-01-03,NY,
2022-01-10,NY,
2022-01-17,NY,
2022-01-24,NY,
2022-01-31,NY,
2022-02-07,NY,
2022-02-14,NY,
2022-02-21,NY,
2022-02-28,NY,
2022-03-07,NY,
2022-03-14,NY,
2022-03-21,NY,
2022-03-28,NY,
2022-04-04,NY,
2022-04-11,NY,
2022-04-18,NY,
2022-04-25,NY,
2022-05-02,NY,
2022-05-09,NY,
2022-05-16,NY,
2022-05-23,NY,
2022-05-30,NY,
2022-06-06,NY,
2022-06-13,NY,
2022-06-20,NY,
2022-06-27,NY,
2022-07-04,NY,
2022-07-11,NY,
2022-07-18,NY,
2022-07-25,NY,
2022-08-01,NY,
2022-08-08,NY,
2022-08-15,NY,
2022-08-22,NY,
2022-08-29,NY,
2021-08-02,CO,3.0
2021-08-09,CO,3.0
2021-08-16,CO,3.0
2021-08-23,CO,
2021-08-30,CO,
2021-09-06,CO,
2021-09-13,CO,
2021-09-20,CO,
2021-09-27,CO,
2021-10-04,CO,
2021-10-11,CO,
2021-10-18,CO,
2021-10-25,CO,
2021-11-01,CO,
2021-11-08,CO,
2021-11-15,CO,
2021-11-22,CO,
2021-11-29,CO,
2021-12-06,CO,
2021-12-13,CO,
2021-12-20,CO,
2021-12-27,CO,
2022-01-03,CO,
2022-01-10,CO,
2022-01-17,CO,
2022-01-24,CO,
2022-01-31,CO,
2022-02-07,CO,
2022-02-14,CO,
2022-02-21,CO,
2022-02-28,CO,
2022-03-07,CO,
2022-03-14,CO,
2022-03-21,CO,
2022-03-28,CO,
2022-04-04,CO,
2022-04-11,CO,
2022-04-18,CO,
2022-04-25,CO,
2022-05-02,CO,
2022-05-09,CO,
2022-05-16,CO,
2022-05-23,CO,
2022-05-30,CO,
2022-06-06,CO,
2022-06-13,CO,
2022-06-20,CO,
2022-06-27,CO,
2022-07-04,CO,
2022-07-11,CO,
2022-07-18,CO,
2022-07-25,CO,
2022-08-01,CO,
2022-08-08,CO,
2022-08-15,CO,
2022-08-22,CO,
2022-08-29,CO,
2021-08-02,FL,3.0
2021-08-09,FL,3.0
2021-08-16,FL,3.0
2021-08-23,FL,
2021-08-30,FL,
2021-09-06,FL,
2021-09-13,FL,
2021-09-20,FL,
2021-09-27,FL,
2021-10-04,FL,
2021-10-11,FL,
2021-10-18,FL,
2021-10-25,FL,
2021-11-01,FL,
2021-11-08,FL,
2021-11-15,FL,
2021-11-22,FL,
2021-11-29,FL,
2021-12-06,FL,
2021-12-13,FL,
2021-12-20,FL,
2021-12-27,FL,
2022-01-03,FL,
2022-01-10,FL,
2022-01-17,FL,
2022-01-24,FL,
2022-01-31,FL,
2022-02-07,FL,
2022-02-14,FL,
2022-02-21,FL,
2022-02-28,FL,
2022-03-07,FL,
2022-03-14,FL,
2022-03-21,FL,
2022-03-28,FL,
2022-04-04,FL,
2022-04-11,FL,
2022-04-18,FL,
2022-04-25,FL,
2022-05-02,FL,
2022-05-09,FL,
2022-05-16,FL,
2022-05-23,FL,
2022-05-30,FL,
2022-06-06,FL,
2022-06-13,FL,
2022-06-20,FL,
2022-06-27,FL,
2022-07-04,FL,
2022-07-11,FL,
2022-07-18,FL,
2022-07-25,FL,
2022-08-01,FL,
2022-08-08,FL,
2022-08-15,FL,
2022-08-22,FL,
2022-08-29,FL,
2021-08-02,MA,3.0
2021-08-09,MA,3.0
2021-08-16,MA,3.0
2021-08-23,MA,
2021-08-30,MA,
2021-09-06,MA,
2021-09-13,MA,
2021-09-20,MA,
2021-09-27,MA,
2021-10-04,MA,
2021-10-11,MA,
2021-10-18,MA,
2021-10-25,MA,
2021-11-01,MA,
2021-11-08,MA,
2021-11-15,MA,
2021-11-22,MA,
2021-11-29,MA,
2021-12-06,MA,
2021-12-13,MA,
2021-12-20,MA,
2021-12-27,MA,
2022-01-03,MA,
2022-01-10,MA,
2022-01-17,MA,
2022-01-24,MA,
2022-01-31,MA,
2022-02-07,MA,
2022-02-14,MA,
2022-02-21,MA,
2022-02-28,MA,
2022-03-07,MA,
2022-03-14,MA,
2022-03-21,MA,
2022-03-28,MA,
2022-04-04,MA,
2022-04-11,MA,
2022-04-18,MA,
2022-04-25,MA,
2022-05-02,MA,
2022-05-09,MA,
2022-05-16,MA,
2022-05-23,MA,
2022-05-30,MA,
2022-06-06,MA,
2022-06-13,MA,
2022-06-20,MA,
2022-06-27,MA,
2022-07-04,MA,
2022-07-11,MA,
2022-07-18,MA,
2022-07-25,MA,
2022-08-01,MA,
2022-08-08,MA,
2022-08-15,MA,
2022-08-22,MA,
2022-08-29,MA,
2021-08-02,MN,3.0
2021-08-09,MN,3.0
2021-08-16,MN,3.0
2021-08-23,MN,
2021-08-30,MN,
2021-09-06,MN,
2021-09-13,MN,
2021-09-20,MN,
2021-09-27,MN,
2021-10-04,MN,
2021-10-11,MN,
2021-10-18,MN,
2021-10-25,MN,
2021-11-01,MN,
2021-11-08,MN,
2021-11-15,MN,
2021-11-22,MN,
2021-11-29,MN,
2021-12-06,MN,
2021-12-13,MN,
2021-12-20,MN,
2021-12-27,MN,
2022-01-03,MN,
2022-01-10,MN,
2022-01-17,MN,
2022-01-24,MN,
2022-01-31,MN,
2022-02-07,MN,
2022-02-14,MN,
2022-02-21,MN,
2022-02-28,MN,
2022-03-07,MN,
2022-03-14,MN,
2022-03-21,MN,
2022-03-28,MN,
2022-04-04,MN,
2022-04-11,MN,
2022-04-18,MN,
2022-04-25,MN,
2022-05-02,MN,
2022-05-09,MN,
2022-05-16,MN,
2022-05-23,MN,
2022-05-30,MN,
2022-06-06,MN,
2022-06-13,MN,
2022-06-20,MN,
2022-06-27,MN,
2022-07-04,MN,
2022-07-11,MN,
2022-07-18,MN,
2022-07-25,MN,
2022-08-01,MN,
2022-08-08,MN,
2022-08-15,MN,
2022-08-22,MN,
2022-08-29,MN,
2021-08-02,OH,3.0
2021-08-09,OH,3.0
2021-08-16,OH,3.0
2021-08-23,OH,
2021-08-30,OH,
2021-09-06,OH,
2021-09-13,OH,
2021-09-20,OH,
2021-09-27,OH,
2021-10-04,OH,
2021-10-11,OH,
2021-10-18,OH,
2021-10-25,OH,
2021-11-01,OH,
2021-11-08,OH,
2021-11-15,OH,
2021-11-22,OH,
2021-11-29,OH,
2021-12-06,OH,
2021-12-13,OH,
2021-12-20,OH,
2021-12-27,OH,
2022-01-03,OH,
2022-01-10,OH,
2022-01-17,OH,
2022-01-24,OH,
2022-01-31,OH,
2022-02-07,OH,
2022-02-14,OH,
2022-02-21,OH,
2022-02-28,OH,
2022-03-07,OH,
2022-03-14,OH,
2022-03-21,OH,
2022-03-28,OH,
2022-04-04,OH,
2022-04-11,OH,
2022-04-18,OH,
2022-04-25,OH,
2022-05-02,OH,
2022-05-09,OH,
2022-05-16,OH,
2022-05-23,OH,
2022-05-30,OH,
2022-06-06,OH,
2022-06-13,OH,
2022-06-20,OH,
2022-06-27,OH,
2022-07-04,OH,
2022-07-11,OH,
2022-07-18,OH,
2022-07-25,OH,
2022-08-01,OH,
2022-08-08,OH,
2022-08-15,OH,
2022-08-22,OH,
2022-08-29,OH,
2021-08-02,TX,3.0
2021-08-09,TX,3.0
2021-08-16,TX,3.0
2021-08-23,TX,
2021-08-30,TX,
2021-09-06,TX,
2021-09-13,TX,
2021-09-20,TX,
2021-09-27,TX,
2021-10-04,TX,
