Symbol,Date,Open,High,Low,Close
AAPL,"Mar 31, 2025",217.01,225.62,216.23,222.13
AAPL,"Mar 28, 2025",221.67,223.81,217.68,217.90
AAPL,"Mar 27, 2025",221.39,224.99,220.56,223.85
AAPL,"Mar 26, 2025",223.51,225.02,220.47,221.53
AAPL,"Mar 25, 2025",220.77,224.10,220.08,223.75
AAPL,"Mar 24, 2025",221.00,221.48,218.58,220.73
AAPL,"Mar 21, 2025",211.56,218.84,211.28,218.27
AAPL,"Mar 20, 2025",213.99,217.49,212.22,214.10
AAPL,"Mar 19, 2025",214.22,218.76,213.75,215.24
AAPL,"Mar 18, 2025",214.16,215.15,211.49,212.69
AAPL,"Mar 17, 2025",213.31,215.22,209.97,214.00
AAPL,"Mar 14, 2025",211.25,213.95,209.58,213.49
AAPL,"Mar 13, 2025",215.95,216.84,208.42,209.68
AAPL,"Mar 12, 2025",220.14,221.75,214.91,216.98
AAPL,"Mar 11, 2025",223.81,225.84,217.45,220.84
AAPL,"Mar 10, 2025",235.54,236.16,224.22,227.48
AAPL,"Mar 7, 2025",235.11,241.37,234.76,239.07
AAPL,"Mar 6, 2025",234.44,237.86,233.16,235.33
AAPL,"Mar 5, 2025",235.42,236.55,229.23,235.74
AAPL,"Mar 4, 2025",237.71,240.07,234.68,235.93
AAPL,"Mar 3, 2025",241.79,244.03,236.11,238.03
AAPL,"Feb 28, 2025",236.95,242.09,230.20,241.84
AAPL,"Feb 27, 2025",239.41,242.46,237.06,237.30
AAPL,"Feb 26, 2025",244.33,244.98,239.13,240.36
AAPL,"Feb 25, 2025",248.00,250.00,244.91,247.04
AAPL,"Feb 24, 2025",244.93,248.86,244.42,247.10
AAPL,"Feb 21, 2025",245.95,248.69,245.22,245.55
AAPL,"Feb 20, 2025",244.94,246.78,244.29,245.83
AAPL,"Feb 19, 2025",244.66,246.01,243.16,244.87
AAPL,"Feb 18, 2025",244.15,245.18,241.84,244.47
AAPL,"Feb 14, 2025",241.25,245.55,240.99,244.60
AAPL,"Feb 13, 2025",236.91,242.34,235.57,241.53
AAPL,"Feb 12, 2025",231.20,236.96,230.68,236.87
AAPL,"Feb 11, 2025",228.20,235.23,228.13,232.62
AAPL,"Feb 10, 2025",229.57,230.59,227.20,227.65
AAPL,"Feb 7, 2025",232.60,234.00,227.26,227.63
AAPL,"Feb 6, 2025",231.29,233.80,230.43,233.22
AAPL,"Feb 5, 2025",228.53,232.67,228.27,232.47
AAPL,"Feb 4, 2025",227.25,233.13,226.65,232.80
AAPL,"Feb 3, 2025",229.99,231.83,225.70,228.01
AAPL,"Jan 31, 2025",247.19,247.19,233.44,236.00
AAPL,"Jan 30, 2025",238.67,240.79,237.21,237.59
AAPL,"Jan 29, 2025",234.12,239.86,234.01,239.36
AAPL,"Jan 28, 2025",230.85,240.19,230.81,238.26
AAPL,"Jan 27, 2025",224.02,232.15,223.98,229.86
AAPL,"Jan 24, 2025",224.78,225.63,221.41,222.78
AAPL,"Jan 23, 2025",224.74,227.03,222.30,223.66
AAPL,"Jan 22, 2025",219.79,224.12,219.79,223.83
AAPL,"Jan 21, 2025",224.00,224.42,219.38,222.64
AAPL,"Jan 17, 2025",232.12,232.29,228.48,229.98
AAPL,"Jan 16, 2025",237.35,238.01,228.03,228.26
AAPL,"Jan 15, 2025",234.64,238.96,234.43,237.87
AAPL,"Jan 14, 2025",234.75,236.12,232.47,233.28
AAPL,"Jan 13, 2025",233.53,234.67,229.72,234.40
AAPL,"Jan 10, 2025",240.01,240.16,233.00,236.85
AAPL,"Jan 8, 2025",241.92,243.71,240.05,242.70
AAPL,"Jan 7, 2025",242.98,245.55,241.35,242.21
AAPL,"Jan 6, 2025",244.31,247.33,243.20,245.00
AAPL,"Jan 3, 2025",243.36,244.18,241.89,243.36
AAPL,"Jan 2, 2025",248.93,249.10,241.82,243.85
AAPL,"Dec 31, 2024",252.44,253.28,249.43,250.42
AAPL,"Dec 30, 2024",252.23,253.50,250.75,252.20
AAPL,"Dec 27, 2024",257.83,258.70,253.06,255.59
AAPL,"Dec 26, 2024",258.19,260.10,257.63,259.02
AAPL,"Dec 24, 2024",255.49,258.21,255.29,258.20
AAPL,"Dec 23, 2024",254.77,255.65,253.45,255.27
AAPL,"Dec 20, 2024",248.04,255.00,245.69,254.49
AAPL,"Dec 19, 2024",247.50,252.00,247.09,249.79
AAPL,"Dec 18, 2024",252.16,254.28,247.74,248.05
AAPL,"Dec 17, 2024",250.08,253.83,249.78,253.48
AAPL,"Dec 16, 2024",247.99,251.38,247.65,251.04
